,,,,,0 ,,,,,,,,,,,,,,,,,,,
東日本旅客鉄道,東海道本線,下り,東京,新橋,251574 ,12692 ,5996 ,8096 ,10120 ,10120 ,10120 ,7396 ,10668 ,22188 ,22188 ,21488 ,16192 ,18820 ,16094 ,16188 ,15688 ,12748 ,14772 ,0 
,,,新橋,品川,251574 ,12692 ,3972 ,10120 ,10120 ,8096 ,12144 ,7396 ,9344 ,21488 ,22188 ,22188 ,15492 ,20844 ,16094 ,16188 ,15688 ,12748 ,14772 ,0 
,,,品川,川崎,244178 ,15416 ,5296 ,6072 ,8096 ,8096 ,6072 ,6072 ,11368 ,21488 ,22188 ,22188 ,13468 ,20844 ,16094 ,16188 ,15688 ,12748 ,14772 ,2024 
,,,川崎,横浜,240540 ,13392 ,5996 ,5372 ,8096 ,8096 ,6072 ,6072 ,12068 ,21488 ,22188 ,21488 ,13468 ,18216 ,15084 ,14164 ,15688 ,14772 ,14772 ,4048 
,,,横浜,戸塚,309356 ,11368 ,8720 ,4672 ,10120 ,12144 ,10120 ,8096 ,16116 ,29584 ,30284 ,29584 ,17516 ,22264 ,19132 ,18212 ,19736 ,16796 ,16796 ,8096 
,,,戸塚,大船,309356 ,9344 ,8096 ,5296 ,8096 ,12144 ,12144 ,8096 ,16116 ,29584 ,30284 ,29584 ,15492 ,22264 ,20240 ,18118 ,19830 ,19132 ,16796 ,8700 
,,,大船,藤沢,313915 ,8020 ,7396 ,5996 ,7396 ,12144 ,10120 ,10120 ,16816 ,28884 ,32308 ,29584 ,13468 ,22264 ,21854 ,20566 ,21854 ,17605 ,16796 ,10724 
,,,藤沢,辻堂,313915 ,8020 ,5372 ,6696 ,8720 ,10120 ,12144 ,8096 ,18840 ,28884 ,30284 ,30284 ,14792 ,20240 ,21854 ,20566 ,19830 ,19629 ,16796 ,12748 
,,,辻堂,茅ヶ崎,313915 ,6696 ,6696 ,6696 ,6696 ,10120 ,12144 ,10120 ,17516 ,28184 ,30984 ,31608 ,14792 ,18216 ,23878 ,20566 ,19830 ,19629 ,16796 ,12748 
,,,茅ヶ崎,平塚,313915 ,6696 ,6696 ,6696 ,4672 ,10120 ,12144 ,10120 ,18216 ,29508 ,30984 ,29584 ,14792 ,18216 ,23878 ,20566 ,19830 ,19629 ,16796 ,14772 
,,,平塚,大磯,261215 ,7396 ,4672 ,4048 ,5996 ,6072 ,10120 ,6072 ,16192 ,23436 ,26936 ,27560 ,10044 ,14168 ,20144 ,18542 ,18816 ,12157 ,14072 ,14772 
,,,大磯,二宮,261215 ,7396 ,2648 ,6072 ,3972 ,8096 ,10120 ,6072 ,14168 ,25460 ,26936 ,25536 ,12068 ,12144 ,20144 ,18542 ,20840 ,10133 ,14072 ,16796 
,,,二宮,国府津,261215 ,6072 ,3972 ,4748 ,3972 ,7396 ,10120 ,6072 ,16192 ,25460 ,26936 ,25536 ,10744 ,13468 ,18820 ,19866 ,20236 ,10737 ,14072 ,16796 
,,,国府津,鴨宮,217311 ,6072 ,2648 ,5372 ,4672 ,2024 ,8096 ,4048 ,10120 ,26160 ,26236 ,23512 ,10744 ,13468 ,14072 ,15118 ,13464 ,10737 ,10024 ,10724 
,,,鴨宮,小田原,217311 ,6072 ,1324 ,6696 ,3348 ,3348 ,8096 ,4048 ,10120 ,26160 ,26236 ,23512 ,10744 ,11444 ,16096 ,13094 ,15488 ,10737 ,10024 ,10724 
,,,小田原,早川,101992 ,4048 ,1324 ,4672 ,700 ,3348 ,4048 ,2024 ,8096 ,10044 ,10744 ,12068 ,5996 ,5372 ,7396 ,6696 ,4048 ,5996 ,3348 ,2024 
,,,早川,根府川,101992 ,4048 ,1324 ,2648 ,2724 ,3348 ,2024 ,4048 ,8096 ,10044 ,10744 ,12068 ,5996 ,5372 ,7396 ,6696 ,4048 ,5996 ,3348 ,2024 
,,,根府川,真鶴,101992 ,4048 ,1324 ,2648 ,2724 ,3348 ,2024 ,4048 ,6072 ,12068 ,10744 ,12068 ,4672 ,6696 ,7396 ,6696 ,4048 ,4672 ,3348 ,3348 
,,,真鶴,湯河原,101992 ,4048 ,0 ,2648 ,4048 ,1324 ,4048 ,4048 ,6072 ,10044 ,10744 ,12768 ,5996 ,6696 ,7396 ,6696 ,4048 ,4672 ,3348 ,3348 
,,,,,0 ,,,,,,,,,,,,,,,,,,,
